Phenotype,Orthogroup,Shared_species_count,Represented_species,Maize_gene,GeneName,Family_Subfamily,ProteinClass,GO_MF,GO_BP,GO_CC,Sorghum_gene,Rice_gene,Barley_gene,Arabidopsis_gene
PC2,5014320at2759,3,Maize;Rice;Barley,Zm00001eb369470,,,,,,,,LOC_Os09g05060,HORVU.MOREX.r3.4HG0412730,
PC2,27276at38820,3,Maize;Sorghum;Barley,Zm00001eb373960,20 kDa chaperonin chloroplastic,"20 KDA CHAPERONIN, CHLOROPLASTIC (PTHR10772:SF63)",chaperonin(PC00073),ATP binding(GO:0005524);protein folding chaperone(GO:0044183);metal ion binding(GO:0046872);transition metal ion binding(GO:0046914);unfolded protein binding(GO:0051082);protein-folding chaperone binding(GO:0051087),protein folding(GO:0006457),mitochondrion(GO:0005739);chloroplast(GO:0009507),SORBI_3004G319800,,HORVU.MOREX.r3.6HG0620920,
PC2,650895at3193,3,Maize;Barley;Arabidopsis,Zm00001eb392700,,,,,,,,,HORVU.MOREX.r3.2HG0171990,AT1G68410
PC2,4917248at2759,3,Maize;Barley;Arabidopsis,Zm00001eb394480,1-phosphatidylinositol-4-phosphate 5-kinase,1-PHOSPHATIDYLINOSITOL-4-PHOSPHATE 5-KINASE (PTHR23086:SF57),kinase(PC00137),nucleotide binding(GO:0000166);ATP binding(GO:0005524);kinase activity(GO:0016301);1-phosphatidylinositol-4-phosphate 5-kinase activity(GO:0016308);transferase activity(GO:0016740);phosphatidylinositol kinase activity(GO:0052742),phosphatidylinositol metabolic process(GO:0046488);phosphatidylinositol phosphate biosynthetic process(GO:0046854),plasma membrane(GO:0005886),,,HORVU.MOREX.r3.7HG0752890,AT1G10900
PC2,187007at3193,3,Maize;Barley;Arabidopsis,Zm00001eb397150,Organic anion transporter,OS03G0286300 PROTEIN (PTHR11132:SF500),secondary carrier transporter(PC00258),antiporter activity(GO:0015297),transmembrane transport(GO:0055085),Golgi apparatus(GO:0005794);membrane(GO:0016020),,,HORVU.MOREX.r3.4HG0385690,AT3G10290
PC2,294520at3193,3,Maize;Barley;Arabidopsis,Zm00001eb397170,Arogenate dehydratase,AROGENATE DEHYDRATASE (PTHR21022:SF36),dehydratase(PC00091),prephenate dehydratase activity(GO:0004664);lyase activity(GO:0016829);arogenate dehydratase activity(GO:0047769),amino acid biosynthetic process(GO:0008652);aromatic amino acid family biosynthetic process(GO:0009073);L-phenylalanine biosynthetic process(GO:0009094),cytoplasm(GO:0005737);chloroplast(GO:0009507);chloroplast stroma(GO:0009570),,,HORVU.MOREX.r3.5HG0507470,AT5G22630
PC2,788495at2759,3,Maize;Barley;Arabidopsis,Zm00001eb402260,,,,,,,,,HORVU.MOREX.r3.1HG0005040;HORVU.MOREX.r3.5HG0495250,AT1G76360;AT2G28930;AT4G35600
PC2,683187at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb403360,,,,,,,SORBI_3001G244400,,,AT4G14750
PC2,4988228at2759,3,Maize;Barley;Arabidopsis,Zm00001eb403780,Nascent polypeptide-associated complex alpha subunit-like protein,NASCENT POLYPEPTIDE-ASSOCIATED COMPLEX SUBUNIT ALPHA-LIKE PROTEIN 2 (PTHR21713:SF43),basic helix-loop-helix transcription factor(PC00055),unfolded protein binding(GO:0051082),protein targeting to membrane(GO:0006612),cytoplasm(GO:0005737);nascent polypeptide-associated complex(GO:0005854),,,HORVU.MOREX.r3.3HG0316960,AT3G12390;AT4G10480
PC2,110816at2759,3,Maize;Barley;Arabidopsis,Zm00001eb404540,,,,,,,,,HORVU.MOREX.r3.1HG0014680;HORVU.MOREX.r3.5HG0515880,AT2G23810
PC2,131670at33090,3,Maize;Rice;Arabidopsis,Zm00001eb407680,,,,,,,,LOC_Os07g06670,,AT5G18680
PC2,4836117at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb407780,,,,,,,SORBI_3001G041800,,,AT4G18480
PC2,638084at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb410050,,,,,,,SORBI_3004G319600,,,AT3G62110
PC2,630255at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb414790,,,,,,,SORBI_3003G051100,,,AT1G34210;AT4G33430
PC2,590106at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb426920,,,,,,,SORBI_3004G299700,,,AT3G27020
PC2,590106at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb426930,,,,,,,SORBI_3004G299700,,,AT3G27020
PC2,590106at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb426940,,,,,,,SORBI_3004G299700,,,AT3G27020
PC2,524414at2759,3,Maize;Barley;Arabidopsis,Zm00001eb428660,,,,,,,,,HORVU.MOREX.r3.5HG0513910,AT1G04430;AT1G19430;AT5G14430
PC2,5004621at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb429430,Glutathione peroxidase,"PHOSPHOLIPID HYDROPEROXIDE GLUTATHIONE PEROXIDASE 6, MITOCHONDRIAL-RELATED (PTHR11592:SF118)",peroxidase(PC00180),peroxidase activity(GO:0004601);oxidoreductase activity(GO:0016491);phospholipid-hydroperoxide glutathione peroxidase activity(GO:0047066),response to oxidative stress(GO:0006979);cellular response to oxidative stress(GO:0034599);cellular oxidant detoxification(GO:0098869),cytosol(GO:0005829),SORBI_3001G378700,,,AT1G63460
PC2,159147at3193,3,Maize;Sorghum;Arabidopsis,Zm00001eb430440,Calcium-transporting ATPase,CALCIUM-TRANSPORTING ATPASE (PTHR24093:SF369),primary active transporter(PC00068),nucleotide binding(GO:0000166);P-type calcium transporter activity(GO:0005388);calmodulin binding(GO:0005516);ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887);metal ion binding(GO:0046872),monoatomic ion transport(GO:0006811);calcium ion transport(GO:0006816);calcium ion transmembrane transport(GO:0070588),plasma membrane(GO:0005886);endomembrane system(GO:0012505);membrane(GO:0016020),SORBI_3006G206800,,,AT3G63380
PC2,4971880at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb432420,,,,,,,SORBI_3002G295100;SORBI_3007G088000,,,AT4G30210
PC2,624064at2759,3,Maize;Sorghum;Arabidopsis,Zm00001eb432530,,,,,,,SORBI_3006G248500,,,AT2G24530
PC2,176783at3193,3,Maize;Sorghum;Arabidopsis,Zm00001eb433500,Cytokinin response regulator2,TWO-COMPONENT RESPONSE REGULATOR ORR6 (PTHR43874:SF213),winged helix/forkhead transcription factor(PC00246),,phosphorelay signal transduction system(GO:0000160);cytokinin-activated signaling pathway(GO:0009736),,SORBI_3006G151800,,,AT2G41310
PC3,4809112at2759,5,Maize;Sorghum;Rice;Barley;Arabidopsis,Zm00001eb202100,Purple acid phosphatase,PURPLE ACID PHOSPHATASE (PTHR22953:SF108),phosphatase(PC00181),acid phosphatase activity(GO:0003993);hydrolase activity(GO:0016787);metal ion binding(GO:0046872),,,SORBI_3007G091100,LOC_Os12g01510,HORVU.MOREX.r3.5HG0461970,AT2G16430
PC3,2467431at2759,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb002570,,,,,,,,LOC_Os03g01320,HORVU.MOREX.r3.4HG0341970,AT4G05160
PC3,640662at2759,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb009940,,,,,,,,LOC_Os01g07870;LOC_Os05g01620,HORVU.MOREX.r3.5HG0494460;HORVU.MOREX.r3.6HG0618250,AT1G14540;AT2G24800;AT2G38380;AT3G17070;AT4G37520;AT5G05340;AT5G51890
PC3,640662at2759,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb009950,,,,,,,,LOC_Os01g07870;LOC_Os05g01620,HORVU.MOREX.r3.5HG0494460;HORVU.MOREX.r3.6HG0618250,AT1G14540;AT2G24800;AT2G38380;AT3G17070;AT4G37520;AT5G05340;AT5G51890
PC3,640662at2759,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb043110,,,,,,,,LOC_Os01g07870;LOC_Os05g01620,HORVU.MOREX.r3.5HG0494460;HORVU.MOREX.r3.6HG0618250,AT1G14540;AT2G24800;AT2G38380;AT3G17070;AT4G37520;AT5G05340;AT5G51890
PC3,640662at2759,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb058260,,,,,,,,LOC_Os01g07870;LOC_Os05g01620,HORVU.MOREX.r3.5HG0494460;HORVU.MOREX.r3.6HG0618250,AT1G14540;AT2G24800;AT2G38380;AT3G17070;AT4G37520;AT5G05340;AT5G51890
PC3,164184at3193,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb058860,Putative xyloglucan glycosyltransferase 12,XYLOGLUCAN GLYCOSYLTRANSFERASE 9-RELATED (PTHR32044:SF51),,transferase activity(GO:0016740);glycosyltransferase activity(GO:0016757),pollen tube development(GO:0048868);cell wall organization(GO:0071555);plant organ development(GO:0099402),Golgi membrane(GO:0000139);Golgi apparatus(GO:0005794),SORBI_3003G308100;SORBI_3007G090600,,HORVU.MOREX.r3.1HG0077960;HORVU.MOREX.r3.5HG0513440,AT3G07330;AT4G07960
PC3,787554at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb061860,,,,,,,SORBI_3003G225200,,HORVU.MOREX.r3.6HG0633900,AT4G09570;AT4G21940;AT5G04870
PC3,794814at2759,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb062530,Ras-related protein ARA-3,OS03G0819900 PROTEIN (PTHR47980:SF73),,nucleotide binding(GO:0000166);GTPase activity(GO:0003924);GTP binding(GO:0005525),exocytosis(GO:0006887),plasma membrane(GO:0005886);membrane(GO:0016020),,LOC_Os03g01460,HORVU.MOREX.r3.3HG0228240;HORVU.MOREX.r3.3HG0228250,AT5G03530
PC3,638084at2759,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb063370,,,,,,,,LOC_Os05g05870,HORVU.MOREX.r3.4HG0412200;HORVU.MOREX.r3.7HG0706740,AT1G19170
PC3,640662at2759,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb067730,,,,,,,,LOC_Os01g07870;LOC_Os05g01620,HORVU.MOREX.r3.5HG0494460;HORVU.MOREX.r3.6HG0618250,AT1G14540;AT2G24800;AT2G38380;AT3G17070;AT4G37520;AT5G05340;AT5G51890
PC3,612680at2759,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb069640,,,,,,,,LOC_Os06g06970,HORVU.MOREX.r3.7HG0728750,AT1G11545;AT2G01850;AT2G36870;AT4G14130;AT4G28850
PC3,787554at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb072810,,,,,,,SORBI_3003G225200,,HORVU.MOREX.r3.6HG0633900,AT4G09570;AT4G21940;AT5G04870
PC3,627237at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb082170,,,,,,,SORBI_3001G133900;SORBI_3001G223200;SORBI_3004G276200,,HORVU.MOREX.r3.2HG0177940;HORVU.MOREX.r3.5HG0510530,AT1G12110;AT1G32450;AT1G59740;AT2G02040;AT3G45660;AT3G45680;AT5G46050
PC3,787554at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb093410,,,,,,,SORBI_3003G225200,,HORVU.MOREX.r3.6HG0633900,AT4G09570;AT4G21940;AT5G04870
PC3,787554at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb107190,,,,,,,SORBI_3003G225200,,HORVU.MOREX.r3.6HG0633900,AT4G09570;AT4G21940;AT5G04870
PC3,627237at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb112180,,,,,,,SORBI_3001G133900;SORBI_3001G223200;SORBI_3004G276200,,HORVU.MOREX.r3.2HG0177940;HORVU.MOREX.r3.5HG0510530,AT1G12110;AT1G32450;AT1G59740;AT2G02040;AT3G45660;AT3G45680;AT5G46050
PC3,794814at2759,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb116350,,,,,,,,LOC_Os03g01460,HORVU.MOREX.r3.3HG0228240;HORVU.MOREX.r3.3HG0228250,AT5G03530
PC3,623441at2759,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb122470,ABC transporter domain-containing protein,ABC TRANSPORTER G FAMILY MEMBER 31 (PTHR19241:SF675),ATP-binding cassette (ABC) transporter(PC00003),nucleotide binding(GO:0000166);ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887);ABC-type transporter activity(GO:0140359),transmembrane transport(GO:0055085),plasma membrane(GO:0005886);membrane(GO:0016020),,LOC_Os01g06090,HORVU.MOREX.r3.7HG0718170,AT2G26910
PC3,627237at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb126980,,,,,,,SORBI_3001G133900;SORBI_3001G223200;SORBI_3004G276200,,HORVU.MOREX.r3.2HG0177940;HORVU.MOREX.r3.5HG0510530,AT1G12110;AT1G32450;AT1G59740;AT2G02040;AT3G45660;AT3G45680;AT5G46050
PC3,4932650at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb161610,DnaJ-like protein,J DOMAIN-CONTAINING PROTEIN (PTHR44743:SF10),,,,nucleus(GO:0005634);cytoplasm(GO:0005737);endoplasmic reticulum(GO:0005783),SORBI_3007G104600,,HORVU.MOREX.r3.3HG0270430,AT1G71000
PC3,640662at2759,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb195200,,,,,,,,LOC_Os01g07870;LOC_Os05g01620,HORVU.MOREX.r3.5HG0494460;HORVU.MOREX.r3.6HG0618250,AT1G14540;AT2G24800;AT2G38380;AT3G17070;AT4G37520;AT5G05340;AT5G51890
PC3,640662at2759,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb195210,,,,,,,,LOC_Os01g07870;LOC_Os05g01620,HORVU.MOREX.r3.5HG0494460;HORVU.MOREX.r3.6HG0618250,AT1G14540;AT2G24800;AT2G38380;AT3G17070;AT4G37520;AT5G05340;AT5G51890
PC3,640662at2759,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb204960,,,,,,,,LOC_Os01g07870;LOC_Os05g01620,HORVU.MOREX.r3.5HG0494460;HORVU.MOREX.r3.6HG0618250,AT1G14540;AT2G24800;AT2G38380;AT3G17070;AT4G37520;AT5G05340;AT5G51890
PC3,2042608at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb211960,NAD-dependent epimerase_dehydratase domain-containing protein,NAD-DEPENDENT EPIMERASE_DEHYDRATASE DOMAIN-CONTAINING PROTEIN (PTHR10366:SF659),dehydratase(PC00091),"oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor(GO:0016616)",,,SORBI_3002G366200;SORBI_3003G342100;SORBI_3003G342200,,HORVU.MOREX.r3.4HG0412770;HORVU.MOREX.r3.7HG0651280,AT1G15950;AT1G68540;AT4G30470
PC3,787554at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb212430,,,,,,,SORBI_3003G225200,,HORVU.MOREX.r3.6HG0633900,AT4G09570;AT4G21940;AT5G04870
PC3,640662at2759,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb225230,,,,,,,,LOC_Os01g07870;LOC_Os05g01620,HORVU.MOREX.r3.5HG0494460;HORVU.MOREX.r3.6HG0618250,AT1G14540;AT2G24800;AT2G38380;AT3G17070;AT4G37520;AT5G05340;AT5G51890
PC3,2467431at2759,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb233720,4-coumarate--CoA ligase,4-COUMARATE--COA LIGASE 3 (PTHR24096:SF300),ligase(PC00142),nucleotide binding(GO:0000166);ATP binding(GO:0005524);4-coumarate-CoA ligase activity(GO:0016207);CoA-ligase activity(GO:0016405);ligase activity(GO:0016874);trans-cinnamate-CoA ligase activity(GO:0106290),phenylpropanoid metabolic process(GO:0009698),,,LOC_Os03g01320,HORVU.MOREX.r3.4HG0341970,AT4G05160
PC3,640662at2759,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb251340,,,,,,,,LOC_Os01g07870;LOC_Os05g01620,HORVU.MOREX.r3.5HG0494460;HORVU.MOREX.r3.6HG0618250,AT1G14540;AT2G24800;AT2G38380;AT3G17070;AT4G37520;AT5G05340;AT5G51890
PC3,4854762at2759,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb256120,,,,,,,,LOC_Os09g04260,HORVU.MOREX.r3.3HG0219290;HORVU.MOREX.r3.3HG0220930;HORVU.MOREX.r3.6HG0619230,AT1G21890;AT4G08300
PC3,419791at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb257300,,,,,,,SORBI_3001G333400,,HORVU.MOREX.r3.6HG0622130;HORVU.MOREX.r3.7HG0651300,AT4G25790;AT5G26130
PC3,419791at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb257310,,,,,,,SORBI_3001G333400,,HORVU.MOREX.r3.6HG0622130;HORVU.MOREX.r3.7HG0651300,AT4G25790;AT5G26130
PC3,4805980at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb257750,Carboxypeptidase,SERINE CARBOXYPEPTIDASE 24 (PTHR11802:SF25),serine protease(PC00203),,,,SORBI_3008G073700,,HORVU.MOREX.r3.3HG0303660;HORVU.MOREX.r3.4HG0332980;HORVU.MOREX.r3.6HG0623790,AT4G30610;AT4G30810
PC3,638084at2759,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb260050,,,,,,,,LOC_Os05g05870,HORVU.MOREX.r3.4HG0412200;HORVU.MOREX.r3.7HG0706740,AT1G19170
PC3,381908at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb270630,GDSL esterase_lipase APG,GDSL ESTERASE_LIPASE APG (PTHR45642:SF16),hydrolase(PC00121),"hydrolase activity, acting on ester bonds(GO:0016788)",,,SORBI_3001G003600;SORBI_3003G341900,,HORVU.MOREX.r3.2HG0097240;HORVU.MOREX.r3.5HG0468740,AT2G30310;AT2G31540;AT5G33370
PC3,627237at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb289290,,,,,,,SORBI_3001G133900;SORBI_3001G223200;SORBI_3004G276200,,HORVU.MOREX.r3.2HG0177940;HORVU.MOREX.r3.5HG0510530,AT1G12110;AT1G32450;AT1G59740;AT2G02040;AT3G45660;AT3G45680;AT5G46050
PC3,640662at2759,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb291850,,,,,,,,LOC_Os01g07870;LOC_Os05g01620,HORVU.MOREX.r3.5HG0494460;HORVU.MOREX.r3.6HG0618250,AT1G14540;AT2G24800;AT2G38380;AT3G17070;AT4G37520;AT5G05340;AT5G51890
PC3,638084at2759,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb304280,,,,,,,,LOC_Os05g05870,HORVU.MOREX.r3.4HG0412200;HORVU.MOREX.r3.7HG0706740,AT1G19170
PC3,627237at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb304390,,,,,,,SORBI_3001G133900;SORBI_3001G223200;SORBI_3004G276200,,HORVU.MOREX.r3.2HG0177940;HORVU.MOREX.r3.5HG0510530,AT1G12110;AT1G32450;AT1G59740;AT2G02040;AT3G45660;AT3G45680;AT5G46050
PC3,612680at2759,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb312000,,,,,,,,LOC_Os06g06970,HORVU.MOREX.r3.7HG0728750,AT1G11545;AT2G01850;AT2G36870;AT4G14130;AT4G28850
PC3,4854762at2759,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb313490,,,,,,,,LOC_Os09g04260,HORVU.MOREX.r3.3HG0219290;HORVU.MOREX.r3.3HG0220930;HORVU.MOREX.r3.6HG0619230,AT1G21890;AT4G08300
PC3,4854762at2759,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb313500,,,,,,,,LOC_Os09g04260,HORVU.MOREX.r3.3HG0219290;HORVU.MOREX.r3.3HG0220930;HORVU.MOREX.r3.6HG0619230,AT1G21890;AT4G08300
PC3,4932650at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb315040,DNAJ heat shock N-terminal domain-containing protein,DNAJ HEAT SHOCK N-TERMINAL DOMAIN-CONTAINING PROTEIN (PTHR21454:SF47),,iron ion binding(GO:0005506);metal ion binding(GO:0046872),protein histidyl modification to diphthamide(GO:0017183),nucleus(GO:0005634);cytoplasm(GO:0005737);endoplasmic reticulum(GO:0005783);cytosol(GO:0005829),SORBI_3007G104600,,HORVU.MOREX.r3.3HG0270430,AT1G71000
PC3,2042608at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb326840,NAD(P)-binding Rossmann-fold superfamily protein,OS07G0601900 PROTEIN (PTHR10366:SF696),dehydratase(PC00091),"oxidoreductase activity(GO:0016491);oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor(GO:0016616)",defense response(GO:0006952);toxin catabolic process(GO:0009407);defense response to fungus(GO:0050832),,SORBI_3002G366200;SORBI_3003G342100;SORBI_3003G342200,,HORVU.MOREX.r3.4HG0412770;HORVU.MOREX.r3.7HG0651280,AT1G15950;AT1G68540;AT4G30470
PC3,787554at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb369270,,,,,,,SORBI_3003G225200,,HORVU.MOREX.r3.6HG0633900,AT4G09570;AT4G21940;AT5G04870
PC3,640662at2759,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb383860,,,,,,,,LOC_Os01g07870;LOC_Os05g01620,HORVU.MOREX.r3.5HG0494460;HORVU.MOREX.r3.6HG0618250,AT1G14540;AT2G24800;AT2G38380;AT3G17070;AT4G37520;AT5G05340;AT5G51890
PC3,640662at2759,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb383870,,,,,,,,LOC_Os01g07870;LOC_Os05g01620,HORVU.MOREX.r3.5HG0494460;HORVU.MOREX.r3.6HG0618250,AT1G14540;AT2G24800;AT2G38380;AT3G17070;AT4G37520;AT5G05340;AT5G51890
PC3,794814at2759,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb403120,,,,,,,,LOC_Os03g01460,HORVU.MOREX.r3.3HG0228240;HORVU.MOREX.r3.3HG0228250,AT5G03530
PC3,1873865at2759,4,Maize;Rice;Barley;Arabidopsis,Zm00001eb419530,Expansin,EXPANSIN-A11 (PTHR31867:SF4),,,plant-type cell wall organization(GO:0009664);plant-type cell wall loosening(GO:0009828);cell wall organization(GO:0071555),extracellular region(GO:0005576);membrane(GO:0016020),,LOC_Os03g08220,HORVU.MOREX.r3.1HG0054180,AT1G12560;AT5G02260
PC3,787554at2759,4,Maize;Sorghum;Barley;Arabidopsis,Zm00001eb429270,,,,,,,SORBI_3003G225200,,HORVU.MOREX.r3.6HG0633900,AT4G09570;AT4G21940;AT5G04870
PC3,132787at33090,3,Maize;Barley;Arabidopsis,Zm00001eb002470,,,,,,,,,HORVU.MOREX.r3.3HG0331000,AT5G13160
PC3,4350256at2759,3,Maize;Barley;Arabidopsis,Zm00001eb008450,,,,,,,,,HORVU.MOREX.r3.2HG0207170,AT1G13250;AT1G19300;AT5G15470
PC3,106400at33090,3,Maize;Barley;Arabidopsis,Zm00001eb010370,,,,,,,,,HORVU.MOREX.r3.1HG0006570,AT3G46000;AT4G25590;AT5G59880
PC3,718954at2759,3,Maize;Barley;Arabidopsis,Zm00001eb012800,Ankyrin repeat-containing protein,ANKYRIN REPEAT FAMILY PROTEIN (PTHR24186:SF18),phosphatase modulator(PC00184),,,plasma membrane(GO:0005886);membrane(GO:0016020),,,HORVU.MOREX.r3.5HG0496910,AT2G31820
PC3,2126835at2759,3,Maize;Barley;Arabidopsis,Zm00001eb015890,,,,,,,,,HORVU.MOREX.r3.2HG0111790,AT4G23740
PC3,748905at2759,3,Maize;Barley;Arabidopsis,Zm00001eb023740,,,,,,,,,HORVU.MOREX.r3.1HG0090920,AT4G18550
PC3,643341at2759,3,Maize;Barley;Arabidopsis,Zm00001eb026550,,,,,,,,,HORVU.MOREX.r3.1HG0088480;HORVU.MOREX.r3.7HG0718040,AT1G72300;AT2G02220
PC3,482605at33090,3,Maize;Barley;Arabidopsis,Zm00001eb040890,,,,,,,,,HORVU.MOREX.r3.1HG0058280,AT1G17745
PC3,630255at2759,3,Maize;Barley;Arabidopsis,Zm00001eb041050,Putative LRR receptor-like serine_threonine-protein kinase,OS08G0442700 PROTEIN (PTHR47988:SF73),transmembrane signal receptor(PC00197),nucleotide binding(GO:0000166);protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);transmembrane receptor protein serine/threonine kinase activity(GO:0004675);ATP binding(GO:0005524);kinase activity(GO:0016301);transferase activity(GO:0016740),signal transduction(GO:0007165);cell surface receptor protein serine/threonine kinase signaling pathway(GO:0007178);brassinosteroid mediated signaling pathway(GO:0009742);regulation of developmental growth(GO:0048638),plasma membrane(GO:0005886),,,HORVU.MOREX.r3.2HG0172990,AT1G71830;AT4G33430
PC3,524414at2759,3,Maize;Barley;Arabidopsis,Zm00001eb045860,,,,,,,,,HORVU.MOREX.r3.1HG0059350;HORVU.MOREX.r3.3HG0307120,AT1G04430;AT1G19430
PC3,281993at2759,3,Maize;Rice;Barley,Zm00001eb051830,Serine_threonine protein phosphatase 2A regulatory subunit,SERINE_THREONINE-PROTEIN PHOSPHATASE 2A 56 KDA REGULATORY SUBUNIT GAMMA ISOFORM (PTHR10257:SF3),protein phosphatase(PC00195),protein phosphatase regulator activity(GO:0019888);protein phosphatase activator activity(GO:0072542),signal transduction(GO:0007165);meiotic sister chromatid cohesion(GO:0051177),protein phosphatase type 2A complex(GO:0000159);cytoplasm(GO:0005737),,LOC_Os08g01220,HORVU.MOREX.r3.4HG0334450,
PC3,531243at2759,3,Maize;Barley;Arabidopsis,Zm00001eb055460,,,,,,,,,HORVU.MOREX.r3.5HG0511090,AT4G16250
PC3,385098at2759,3,Maize;Rice;Arabidopsis,Zm00001eb055730,CRAL-TRIO domain-containing protein,SEC14P-LIKE PHOSPHATIDYLINOSITOL TRANSFER FAMILY PROTEIN (PTHR45824:SF22),,phosphatidylinositol transfer activity(GO:0008526),phospholipid transport(GO:0015914);intermembrane lipid transfer(GO:0120009),,,LOC_Os02g07520,,AT1G22180
PC3,531243at2759,3,Maize;Barley;Arabidopsis,Zm00001eb057490,Phytochrome,PHYTOCHROME C (PTHR43719:SF4),histidine kinase receptor of two-component system(PC00265),phosphorelay sensor kinase activity(GO:0000155);photoreceptor activity(GO:0009881);protein homodimerization activity(GO:0042803),"phosphorelay signal transduction system(GO:0000160);regulation of DNA-templated transcription(GO:0006355);signal transduction(GO:0007165);detection of visible light(GO:0009584);red, far-red light phototransduction(GO:0009585);protein-tetrapyrrole linkage(GO:0017006)",nucleus(GO:0005634),,,HORVU.MOREX.r3.5HG0511090,AT4G16250
